CBO (X1),LCOM (X2),RFC (X3),WMC (X4),Defects
24,100,110,73,106
19,100,78,30,79.5
13,88,99,99,38.5
21,100,68,30,90.5
17,90,69,36,54.5
10,88,22,22,31
19,94,53,17,53.5
14,90,37,25,41
18,100,38,13,53
18,100,38,13,51
9,0,7,7,32.5
6,59,33,25,15
5,0,7,7,20.5
4,75,8,8,10
4,0,6,6,10
24,96,140,35,106
23,92,53,25,97.5
9,28,31,23,22.5
2,94,52,17,5
6,80,15,15,15
5,25,9,9,16.5
0,100,0,0,0
0,100,0,0,0
8,58,37,34,20
15,77,12,12,65.5
11,76,28,28,43.5
12,55,24,20,44
4,100,11,11,54
14,94,198,24,45
2,85,11,7,5
1,0,3,3,2.5
4,90,20,20,18
3,90,11,8,15.5
5,0,10,5,12.5
5,100,8,8,12.5
0,0,3,3,0
3,100,38,11,7.5
0,50,2,2,0
1,100,30,20,2.5
16,81,28,20,48
3,67,17,17,7.5
9,97,38,11,26.5
3,38,7,7,7.5
10,82,10,10,39
11,0,41,9,27.5
4,0,5,5,12
4,0,5,5,10
4,0,5,5,18
14,73,92,23,53
12,89,55,21,30
0,100,98,98,0
13,75,36,8,48.5
10,96,98,98,227
14,96,48,18,35
10,46,23,15,25
5,100,18,18,12.5
5,78,14,14,12.5
4,0,8,8,10
1,0,2,2,2.5
14,87,61,26,35
14,96,54,8,35
18,83,58,10,45
14,91,54,8,39
17,93,54,6,42.5
17,93,54,6,42.5
14,81,46,11,35
12,80,37,10,30
6,95,59,24,15
15,94,44,9,37.5
14,86,37,10,35
10,85,37,9,25
1,100,53,22,2.5
1,100,20,16,2.5
1,100,33,14,2.5
0,0,9,9,0
14,97,53,22,49
10,95,42,15,25
9,86,222,100,22.5
20,95,85,28,134
12,83,52,39,78
13,80,45,37,66.5
16,87,40,12,56
9,0,18,18,30.5
7,0,15,15,29.5
9,93,49,14,28.5
4,0,16,16,44
3,0,8,8,25.5
6,62,8,8,15
1,75,6,6,2.5
22,94,31,31,119
16,93,38,32,80
19,90,35,35,75.5
6,74,48,21,21
9,83,14,14,26.5
4,84,33,13,10
16,0,10,10,52
8,68,7,7,58
9,0,10,10,48.5
7,75,6,6,17.5
5,0,60,5,12.5
5,0,24,5,12.5
1,100,12,5,2.5
15,90,34,19,49.5
14,72,27,12,35
14,84,33,20,39
12,67,33,14,30
11,80,28,15,29.5
10,88,23,23,25
13,86,27,11,32.5
13,100,25,19,32.5
0,100,4,3,0
5,86,24,24,12.5
10,75,20,16,25
10,88,25,25,25
12,77,13,9,30
4,0,6,6,12
2,0,9,9,5
0,100,0,0,0
0,100,0,0,0
10,96,84,50,77
15,78,11,11,45.5
14,73,8,8,35
1,100,38,32,2.5
14,0,41,10,47
0,100,35,35,0
15,78,119,7,59.5
15,82,7,7,59.5
9,83,15,15,28.5
3,100,32,32,7.5
8,72,36,11,46
8,22,11,11,20
4,50,11,6,10
0,100,7,7,0
3,100,38,11,7.5
0,100,10,10,0
1,70,5,5,2.5
1,100,30,20,2.5
0,0,10,10,0
0,0,10,10,0
0,100,28,28,0
1,0,2,2,2.5
1,100,198,24,2.5
0,0,60,5,0
0,98,37,34,0
0,100,7,7,0
